USER_ID,USER_TYPE_ID,FIRST_NAME,LAST_NAME,EMAIL,CITY,STATE,CREATION_TIME
10000001,1,Russel,Glocal,10000001@fakeemail.com,Dravosburg,PA,2004-10-01
10000002,1,Michael,Glocal,10000002@fakeemail.com,Dravosburg,PA,2004-10-01
10000003,1,Ken,Glocal,10000003@fakeemail.com,Bethel Park,PA,2004-10-01
10000004,1,Katherine,Glocal,10000004@fakeemail.com,Braddock,PA,2004-10-01
10000005,1,Joan,Glocal,10000005@fakeemail.com,Braddock,PA,2004-10-01
10000006,1,George,Glocal,10000006@fakeemail.com,Carnegie,PA,2004-10-01
10000007,1,Mary,Glocal,10000007@fakeemail.com,Carnegie,PA,2004-10-01
10000008,1,Nader,Glocal,10000008@fakeemail.com,Carnegie,PA,2004-10-01
10000009,1,Kiffen,Glocal,10000009@fakeemail.com,Carnegie,PA,2004-10-01
10000010,1,Joseph,Glocal,10000010@fakeemail.com,Pittsburgh,PA,2004-10-01
10000011,1,Helen,Glocal,10000011@fakeemail.com,Carnegie,PA,2004-10-01
10000012,1,Yishan,Glocal,10000012@fakeemail.com,Carnegie,PA,2004-10-01
10000013,1,David,Glocal,10000013@fakeemail.com,Carnegie,PA,2009-03-01
10000014,1,Angela,Glocal,10000014@fakeemail.com,Carnegie,PA,2009-08-01
10000015,1,Michelle,Glocal,10000015@fakeemail.com,Carnegie,PA,2009-08-01
10000016,1,Jeffrey,Glocal,10000016@fakeemail.com,Carnegie,PA,2009-08-01
10000017,1,Lynda,Glocal,10000017@fakeemail.com,Carnegie,PA,2009-08-01
10000018,1,Heather,Glocal,10000018@fakeemail.com,Carnegie,PA,2010-07-01
10000019,1,Jeff,Glocal,10000019@fakeemail.com,Carnegie,PA,2010-07-01
10000020,1,Chad,Glocal,10000020@fakeemail.com,Carnegie,PA,2010-07-01
10000021,1,Mohammed,Glocal,10000021@fakeemail.com,Carnegie,PA,2010-07-01
10000022,1,Melisa,Glocal,10000022@fakeemail.com,Carnegie,PA,2010-07-01
10000023,1,Anthony,Glocal,10000023@fakeemail.com,Carnegie,PA,2010-10-01
10000024,1,Jess,Glocal,10000024@fakeemail.com,Carnegie,PA,2011-01-01
10000025,1,Stephanie,Glocal,10000025@fakeemail.com,Carnegie,PA,2011-01-01
10000026,1,Kristi,Glocal,10000026@fakeemail.com,Carnegie,PA,2011-01-01
10000027,1,Joe,Glocal,10000027@fakeemail.com,Carnegie,PA,2011-01-01
10000028,1,Maya,Glocal,10000028@fakeemail.com,Heidelberg,PA,2011-01-01
10000029,1,Stacey,Glocal,10000029@fakeemail.com,Pittsburgh,PA,2011-01-01
10000030,1,Dan,Glocal,10000030@fakeemail.com,Carnegie,PA,2011-05-01
10000031,1,Albert,Glocal,10000031@fakeemail.com,Carnegie,PA,2011-05-01
10000032,1,Chris,Glocal,10000032@fakeemail.com,Pittsburgh,PA,2011-09-01
10000033,1,Angela,Glocal,10000033@fakeemail.com,Pittsburgh,PA,2011-09-01
10000034,1,Hannah,Glocal,10000034@fakeemail.com,Homestead,PA,2011-12-01
10000035,1,Steve,Glocal,10000035@fakeemail.com,Homestead,PA,2012-01-01
10000036,1,Shannon,Glocal,10000036@fakeemail.com,Homestead,PA,2012-01-01
10000037,1,Kyle,Glocal,10000037@fakeemail.com,Homestead,PA,2012-01-01
10000038,1,Cole,Glocal,10000038@fakeemail.com,West Mifflin,PA,2012-01-01
10000039,1,Angela,Glocal,10000039@fakeemail.com,Munhall,PA,2012-01-01
10000040,1,Tony,Glocal,10000040@fakeemail.com,Homestead,PA,2012-04-01
10000041,1,LaGabriel,Glocal,10000041@fakeemail.com,Munhall,PA,2012-04-01
10000042,1,Dave,Glocal,10000042@fakeemail.com,Homestead,PA,2012-04-01
10000043,1,Sunshine,Glocal,10000043@fakeemail.com,Homestead,PA,2012-04-01
10000044,1,Sarah,Glocal,10000044@fakeemail.com,Homestead,PA,2012-07-01
10000045,1,Tracy,Glocal,10000045@fakeemail.com,Homestead,PA,2012-07-01
10000046,1,L,Glocal,10000046@fakeemail.com,Homestead,PA,2012-07-01
10000047,1,Mike,Glocal,10000047@fakeemail.com,Homestead,PA,2012-10-01
10000048,1,Breanne,Glocal,10000048@fakeemail.com,Homestead,PA,2012-10-01
10000049,1,Christy,Glocal,10000049@fakeemail.com,Homestead,PA,2013-01-01
10000050,1,K,Glocal,10000050@fakeemail.com,West Homestead,PA,2013-01-01
10000051,1,Kelly,Glocal,10000051@fakeemail.com,Homestead,PA,2013-01-01
10000052,1,Kevin,Glocal,10000052@fakeemail.com,Homestead,PA,2013-01-01
10000053,1,Connie,Glocal,10000053@fakeemail.com,Homestead,PA,2013-01-01
10000054,1,Kikki,Glocal,10000054@fakeemail.com,Homestead,PA,2013-07-01
10000055,1,Cindy,Glocal,10000055@fakeemail.com,Homestead,PA,2013-10-01
10000056,1,Lawrence,Glocal,10000056@fakeemail.com,Homestead,PA,2013-10-01
10000057,1,Latasha,Glocal,10000057@fakeemail.com,West Homestead,PA,2013-10-01
10000058,1,Juan,Glocal,10000058@fakeemail.com,Homestead,PA,2013-10-01
10000059,1,Amanda,Glocal,10000059@fakeemail.com,Homestead,PA,2014-01-01
10000060,1,Bethany,Glocal,10000060@fakeemail.com,Homestead,PA,2014-01-01
10000061,1,Jill,Glocal,10000061@fakeemail.com,Munhall,PA,2014-01-01
10000062,1,Austin,Glocal,10000062@fakeemail.com,Homestead,PA,2014-04-01
10000063,1,Dan,Glocal,10000063@fakeemail.com,Homestead,PA,2014-04-01
10000064,1,Anny,Glocal,10000064@fakeemail.com,Homestead,PA,2014-06-01
10000065,1,Adam,Glocal,10000065@fakeemail.com,Homestead,PA,2014-06-01
10000066,1,Vicky,Glocal,10000066@fakeemail.com,Homestead,PA,2014-06-01
10000067,1,Raven,Glocal,10000067@fakeemail.com,Homestead,PA,2014-08-01
10000068,1,Derrick,Glocal,10000068@fakeemail.com,Homestead,PA,2014-10-01
10000069,1,Kelly,Glocal,10000069@fakeemail.com,Homestead,PA,2014-10-01
10000070,1,JC,Glocal,10000070@fakeemail.com,West Homestead,PA,2014-12-01
10000071,1,TJ,Glocal,10000071@fakeemail.com,Homestead,PA,2014-12-01
10000072,1,Gin,Glocal,10000072@fakeemail.com,Homestead,PA,2014-12-01
10000073,1,Diamond,Glocal,10000073@fakeemail.com,Homestead,PA,2014-12-01
10000074,1,Michele,Glocal,10000074@fakeemail.com,Munhall,PA,2014-12-01
10000075,1,Alexandria,Glocal,10000075@fakeemail.com,Homestead,PA,2015-03-01
10000076,1,Chrome,Glocal,10000076@fakeemail.com,Homestead,PA,2015-03-01
10000077,1,Layne,Glocal,10000077@fakeemail.com,Homestead,PA,2015-05-01
10000078,1,Debanhy,Glocal,10000078@fakeemail.com,Homestead,PA,2015-06-01
10000079,1,Vayahn,Glocal,10000079@fakeemail.com,Homestead,PA,2015-08-01
10000080,1,Michael,Glocal,10000080@fakeemail.com,Homestead,PA,2015-08-01
10000081,1,Amy,Glocal,10000081@fakeemail.com,Homestead,PA,2015-08-01
10000082,1,J,Glocal,10000082@fakeemail.com,Homestead,PA,2015-08-01
10000083,1,Tammy,Glocal,10000083@fakeemail.com,West Mifflin,PA,2015-08-01
10000084,1,Thomas,Glocal,10000084@fakeemail.com,West Mifflin,PA,2015-09-01
